SCHOOL CODE;SCHOOL NAME;GRADE ;PROGRAM TYPE;NUMBER OF STUDENTS   SEATS FILLED;NUMBER OF SECTIONS;AVERAGE CLASS SIZE;SIZE OF SMALLEST CLASS;SIZE OF LARGEST CLASS
M620;Norman Thomas High School;09-12;GEN ED;132;5;26.40;11;33
M620;Norman Thomas High School;09-12;GEN ED;283;10;28.30;23;34
M620;Norman Thomas High School;09-12;GEN ED;310;12;25.80;16;34
M620;Norman Thomas High School;09-12;GEN ED;353;12;29.40;14;37
M620;Norman Thomas High School;09-12;GEN ED;424;20;21.20;10;34
M620;Norman Thomas High School;09-12;GEN ED;131;5;26.20;15;32
M620;Norman Thomas High School;09-12;GEN ED;233;10;23.30;13;31
M620;Norman Thomas High School;09-12;GEN ED;917;34;27.00;10;33
M620;Norman Thomas High School;09-12;GEN ED;652;29;22.50;10;33
M620;Norman Thomas High School;09-12;GEN ED;134;6;22.30;10;32
M620;Norman Thomas High School;09-12;GEN ED;367;16;22.90;11;36
M620;Norman Thomas High School;09-12;GEN ED;369;15;24.60;10;35
M620;Norman Thomas High School;09-12;GEN ED;185;12;15.40;10;24
M620;Norman Thomas High School;09-12;GEN ED;188;8;23.50;11;32
M620;Norman Thomas High School;09-12;CTT;72;2;36.00;36;36
M620;Norman Thomas High School;09-12;CTT;84;3;28.00;21;32
M620;Norman Thomas High School;09-12;CTT;59;2;29.50;27;32
M620;Norman Thomas High School;09-12;CTT;18;1;18.00;18;18
M620;Norman Thomas High School;09-12;CTT;133;5;26.60;19;35
M620;Norman Thomas High School;09-12;CTT;128;4;32.00;25;37
M620;Norman Thomas High School;09-12;CTT;130;5;26.00;22;31
M620;Norman Thomas High School;09-12;CTT;96;3;32.00;30;35
M620;Norman Thomas High School;09-12;CTT;54;2;27.00;21;33
M620;Norman Thomas High School;09-12;SPEC ED;42;4;10.50;10;11
M620;Norman Thomas High School;09-12;SPEC ED;22;2;11.00;7;15
M620;Norman Thomas High School;09-12;SPEC ED;37;3;12.30;11;13
M620;Norman Thomas High School;09-12;SPEC ED;38;3;12.70;8;15
M620;Norman Thomas High School;09-12;SPEC ED;36;2;18.00;18;18
M620;Norman Thomas High School;09-12;SPEC ED;26;3;8.70;5;14
M620;Norman Thomas High School;09-12;SPEC ED;7;1;7.00;7;7
M620;Norman Thomas High School;;;0;0;.00;0;0
