SCHOOL CODE;SCHOOL NAME;GRADE ;PROGRAM TYPE;NUMBER OF STUDENTS   SEATS FILLED;NUMBER OF SECTIONS;AVERAGE CLASS SIZE;SIZE OF SMALLEST CLASS;SIZE OF LARGEST CLASS
K021;P.S. 021 Crispus Attucks;0K;GEN ED;72;3;24.00;24;24
K021;P.S. 021 Crispus Attucks;0K;CTT;18;1;18.00;18;18
K021;P.S. 021 Crispus Attucks;01;GEN ED;92;4;23.00;21;24
K021;P.S. 021 Crispus Attucks;01;CTT;23;1;23.00;23;23
K021;P.S. 021 Crispus Attucks;02;GEN ED;89;4;22.30;21;24
K021;P.S. 021 Crispus Attucks;03;GEN ED;110;5;22.00;21;23
K021;P.S. 021 Crispus Attucks;04;GEN ED;93;4;23.30;23;24
K021;P.S. 021 Crispus Attucks;04;CTT;23;1;23.00;23;23
K021;P.S. 021 Crispus Attucks;05;GEN ED;114;5;22.80;17;26
K021;P.S. 021 Crispus Attucks;0K-09;SPEC ED;17;2;8.50;5;12
K021;P.S. 021 Crispus Attucks;;;0;0;.00;0;0
