SCHOOL CODE;SCHOOL NAME;GRADE ;PROGRAM TYPE;NUMBER OF STUDENTS   SEATS FILLED;NUMBER OF SECTIONS;AVERAGE CLASS SIZE;SIZE OF SMALLEST CLASS;SIZE OF LARGEST CLASS
K002;M.S. 002;06;GEN ED;71;3;23.70;20;28
K002;M.S. 002;06;CTT;22;1;22.00;22;22
K002;M.S. 002;06;G&T;29;1;29.00;29;29
K002;M.S. 002;07;GEN ED;58;2;29.00;28;30
K002;M.S. 002;07;CTT;24;1;24.00;24;24
K002;M.S. 002;07;G&T;30;1;30.00;30;30
K002;M.S. 002;08;GEN ED;79;3;26.30;22;29
K002;M.S. 002;08;CTT;22;1;22.00;22;22
K002;M.S. 002;08;G&T;30;1;30.00;30;30
K002;M.S. 002;0K-09;SPEC ED;31;3;10.30;7;13
K002;M.S. 002;0K-09;SPEC ED;8;1;8.00;8;8
K002;M.S. 002;MS Core;GEN ED;454;17;26.70;22;31
K002;M.S. 002;MS Core;GEN ED;270;10;27.00;22;31
K002;M.S. 002;MS Core;GEN ED;56;2;28.00;26;30
K002;M.S. 002;MS Core;GEN ED;271;10;27.10;22;31
K002;M.S. 002;MS Core;GEN ED;56;2;28.00;26;30
K002;M.S. 002;MS Core;GEN ED;326;12;27.20;22;31
K002;M.S. 002;MS Core;CTT;79;4;19.80;12;23
K002;M.S. 002;MS Core;CTT;44;2;22.00;22;22
K002;M.S. 002;MS Core;CTT;44;2;22.00;22;22
K002;M.S. 002;MS Core;CTT;44;2;22.00;22;22
K002;M.S. 002;MS Core;SPEC ED;50;4;12.50;12;13
K002;M.S. 002;MS Core;SPEC ED;25;2;12.50;12;13
K002;M.S. 002;MS Core;SPEC ED;25;2;12.50;12;13
K002;M.S. 002;MS Core;SPEC ED;25;2;12.50;12;13
K002;M.S. 002;09-12;GEN ED;10;1;10.00;10;10
K002;M.S. 002;09-12;GEN ED;56;2;28.00;26;30
K002;M.S. 002;09-12;SPEC ED;15;1;15.00;15;15
K002;M.S. 002;;;0;0;.00;0;0
