SCHOOL CODE;SCHOOL NAME;GRADE ;PROGRAM TYPE;NUMBER OF STUDENTS   SEATS FILLED;NUMBER OF SECTIONS;AVERAGE CLASS SIZE;SIZE OF SMALLEST CLASS;SIZE OF LARGEST CLASS
M650;Cascades High School;09-12;GEN ED;50;2;25.00;25;25
M650;Cascades High School;09-12;GEN ED;92;4;23.00;19;25
M650;Cascades High School;09-12;GEN ED;120;6;20.00;12;28
M650;Cascades High School;09-12;GEN ED;56;3;18.70;17;21
M650;Cascades High School;09-12;GEN ED;40;2;20.00;15;25
M650;Cascades High School;09-12;GEN ED;88;4;22.00;13;28
M650;Cascades High School;09-12;GEN ED;60;3;20.00;16;24
M650;Cascades High School;09-12;GEN ED;37;2;18.50;17;20
M650;Cascades High School;09-12;GEN ED;26;1;26.00;26;26
M650;Cascades High School;09-12;GEN ED;58;3;19.30;15;22
M650;Cascades High School;09-12;GEN ED;45;2;22.50;22;23
M650;Cascades High School;09-12;GEN ED;74;3;24.70;22;29
M650;Cascades High School;09-12;GEN ED;102;4;25.50;24;28
M650;Cascades High School;09-12;GEN ED;78;3;26.00;23;32
M650;Cascades High School;09-12;GEN ED;76;3;25.30;21;28
M650;Cascades High School;09-12;GEN ED;24;2;12.00;12;12
M650;Cascades High School;;;0;0;.00;0;0
